"Hash","string"
"8f877367","同意しない"
"1a0fe1ec","同意する"
"33560757","送信しない"
"7e7d74dc","送信する"
"92005ad3","データ使用に関する同意"
"fc8896b8","分析設定"
"a18d8775","言語設定"
"fe45eb79","日本語"
"43fb696c","英語"
"57ead87e","繁体字"
"ab248bc3","フランス語"
"8fb2fdd2","イタリア語"
"14d3f358","ドイツ語"
"b6169dab","スペイン語"
"1fbf94ae","韓国語"
"87c67f0b","ブラジルポルトガル語"
"53d1eb22","<icon>LS↑↓</icon>スクロール　<icon>LS←→</icon>選択　<icon>△</icon>言語変更　<icon>○</icon>決定　<icon>×</icon>戻る"
"2a823123","<icon>LS←→</icon>選択　<icon>○</icon>決定　<icon>×</icon>戻る"
"848761a8","Decline"
"210feccf","Accept"
"2855f5b8","Don't Send"
"857d7fdf","Send"
"9f006f74","DATA ANALYSIS POLICY"
"fb88955b","Data Analytics Settings"
"a28d88f6","Language Settings"
"745f95a","Japanese"
"4afb744f","English"
"52ead041","Traditional Chinese"
"b824a044","French"
"92b30235","Italian"
"13d3f1fb","German"
"b316994c","Spanish (EU)"
"1abf8c91","Korean"
"84c67aac","Brazilian Portuguese"
"56d1f065","<icon>LS↑↓</icon>Scroll <icon>LS←→</icon>Select <icon>△</icon>Change Language <icon>○</icon>Confirm <icon>×</icon>Back"
"378245a4","<icon>LS←→</icon>Select <icon>○</icon>Confirm <icon>×</icon>Back"
"95877cea","不同意"
"100fd1bd","同意"
"1955de5a","不同意"
"947d972d","同意"
"9000571e","遊戲分析"
"ea887a11","分析選項"
"b38da338","語言設定"
"f845e1f4","日語"
"39fb593d","英文"
"41eab50f","繁體中文"
"c924ba8e","法文"
"81b2e7fb","義大利文"
"2d3d6b1","德文"
"a41681e6","西班牙文"
"29bfa4ff","韓語"
"75c66346","葡萄牙文"
"65d207cb","<icon>LS↑↓</icon>捲動　<icon>LS←→</icon>選擇　<icon>△</icon>切換語言　<icon>○</icon>確定　<icon>×</icon>返回"
